,AÑO,VUELTA,CANTON_CODIGO,VOTOS_NULOS_M,VOTOS_NULOS_F,VOTOS_BLANCOS_M,VOTOS_BLANCOS_F,VC_BORJA_M,VC_VELAZQUEZ_M,VC_VARGAS_M,VC_HURTADO_M,VC_ROLDOS_M,VC_NOBOA_M,VC_NEIRA_M,VC_ALARCON_M,VC_JUEZ_M,VC_BUCARAM_M,VC_GUTIERREZ_M,VC_BORJA_F,VC_VELAZQUEZ_F,VC_VARGAS_F,VC_HURTADO_F,VC_ROLDOS_F,VC_NOBOA_F,VC_NEIRA_F,VC_ALARCON_F,VC_JUEZ_F,VC_BUCARAM_F,VC_GUTIERREZ_F,ELECTORES_M,ELECTORAS_F,VOTOS VALIDOS,VOTOS_INVALIDOS,CANTON_NOMBRE,PROVINCIA_NOMBRE
0,2002,1,5,1260.0,1326.0,470.0,619.0,3566.0,238.0,76.0,271.0,1466.0,5924.0,773.0,224.0,231.0,978.0,3580.0,3460.0,280.0,56.0,303.0,1807.0,6090.0,810.0,336.0,402.0,826.0,3614.0,26308.0,26757.0,35311.0,3675.0,TULCAN,CARCHI
1,2002,1,10,681.0,648.0,224.0,306.0,1868.0,59.0,31.0,93.0,547.0,1806.0,237.0,62.0,80.0,628.0,1513.0,1953.0,55.0,28.0,87.0,659.0,1805.0,317.0,75.0,131.0,584.0,1450.0,10646.0,11151.0,14068.0,1859.0,MONTUFAR,CARCHI
2,2002,1,15,313.0,389.0,102.0,146.0,662.0,31.0,17.0,45.0,337.0,788.0,140.0,24.0,39.0,371.0,767.0,742.0,25.0,10.0,39.0,360.0,754.0,190.0,24.0,84.0,327.0,816.0,5195.0,5475.0,6592.0,950.0,ESPEJO,CARCHI
3,2002,1,20,326.0,395.0,179.0,176.0,600.0,38.0,8.0,24.0,220.0,470.0,60.0,14.0,17.0,411.0,605.0,626.0,23.0,11.0,24.0,284.0,426.0,84.0,11.0,40.0,362.0,469.0,4530.0,4469.0,4827.0,1076.0,MIRA,CARCHI
4,2002,1,25,350.0,377.0,206.0,219.0,818.0,25.0,15.0,66.0,204.0,842.0,130.0,33.0,37.0,292.0,596.0,775.0,28.0,10.0,50.0,251.0,749.0,119.0,26.0,87.0,191.0,510.0,5210.0,5034.0,5854.0,1152.0,BOLIVAR,CARCHI
5,2002,1,30,3069.0,3669.0,1000.0,1192.0,5760.0,1637.0,260.0,540.0,4177.0,7177.0,1394.0,491.0,465.0,1426.0,8114.0,6213.0,1744.0,183.0,667.0,5190.0,7882.0,1351.0,490.0,1048.0,1286.0,8080.0,51198.0,55498.0,65575.0,8930.0,IBARRA,IMBABURA
6,2002,1,35,2392.0,3582.0,808.0,1390.0,3022.0,402.0,484.0,154.0,1305.0,3549.0,562.0,143.0,142.0,858.0,4213.0,3337.0,425.0,459.0,215.0,1864.0,3722.0,659.0,209.0,357.0,882.0,4068.0,29692.0,32786.0,31031.0,8172.0,OTAVALO,IMBABURA
7,2002,1,40,1104.0,1185.0,651.0,576.0,1091.0,124.0,84.0,41.0,710.0,1237.0,313.0,71.0,80.0,388.0,1731.0,1099.0,134.0,65.0,64.0,796.0,1148.0,295.0,121.0,119.0,254.0,1509.0,12337.0,12092.0,11474.0,3516.0,COTACACHI,IMBABURA
8,2002,1,45,951.0,1013.0,274.0,373.0,1243.0,292.0,81.0,94.0,712.0,1681.0,314.0,76.0,133.0,399.0,2263.0,1372.0,288.0,56.0,105.0,1025.0,1812.0,358.0,60.0,264.0,314.0,2384.0,11694.0,12791.0,15326.0,2611.0,ANTONIO ANTE,IMBABURA
9,2002,1,50,476.0,589.0,198.0,213.0,786.0,37.0,34.0,30.0,258.0,739.0,120.0,20.0,24.0,267.0,824.0,735.0,54.0,18.0,30.0,314.0,651.0,101.0,15.0,55.0,185.0,610.0,5753.0,5560.0,5907.0,1476.0,PIMAMPIRO,IMBABURA
10,2002,1,55,469.0,522.0,277.0,274.0,693.0,35.0,33.0,23.0,200.0,905.0,153.0,22.0,33.0,258.0,630.0,688.0,46.0,18.0,33.0,207.0,802.0,139.0,26.0,78.0,186.0,498.0,5381.0,5322.0,5706.0,1542.0,URCUQUI,IMBABURA
11,2002,1,60,28843.0,32191.0,6717.0,8457.0,118338.0,18572.0,3077.0,9249.0,60444.0,37532.0,17825.0,12273.0,5436.0,8036.0,87546.0,138596.0,17522.0,2741.0,10358.0,76870.0,34460.0,18389.0,10665.0,10314.0,5508.0,82527.0,592922.0,643342.0,786278.0,76208.0,QUITO,PICHINCHA
12,2002,1,65,1298.0,1877.0,745.0,1199.0,3637.0,275.0,98.0,111.0,962.0,1937.0,409.0,151.0,114.0,372.0,4798.0,3799.0,256.0,146.0,156.0,1105.0,1888.0,462.0,161.0,241.0,338.0,4388.0,19542.0,20830.0,25804.0,5119.0,CAYAMBE,PICHINCHA
13,2002,1,70,1042.0,1450.0,395.0,598.0,2924.0,333.0,119.0,117.0,1395.0,1789.0,426.0,300.0,158.0,416.0,4677.0,3276.0,316.0,101.0,137.0,1718.0,1627.0,385.0,258.0,330.0,300.0,4607.0,18726.0,19870.0,25709.0,3485.0,MEJIA,PICHINCHA
14,2002,1,75,480.0,541.0,201.0,412.0,1720.0,59.0,46.0,46.0,411.0,653.0,116.0,81.0,46.0,141.0,953.0,1762.0,72.0,28.0,54.0,509.0,697.0,123.0,56.0,114.0,132.0,822.0,6596.0,7077.0,8641.0,1634.0,PEDRO MONCAYO,PICHINCHA
15,2002,1,80,975.0,1106.0,259.0,256.0,3840.0,624.0,92.0,315.0,2470.0,1907.0,868.0,408.0,195.0,306.0,4080.0,4212.0,544.0,99.0,330.0,3073.0,1813.0,916.0,341.0,403.0,206.0,3912.0,21161.0,22415.0,30954.0,2596.0,RUMINAHUI,PICHINCHA
16,2002,1,85,5207.0,6399.0,2977.0,2736.0,6008.0,1007.0,404.0,471.0,8449.0,9841.0,2844.0,683.0,677.0,5640.0,15693.0,5928.0,832.0,306.0,417.0,10384.0,9096.0,2358.0,729.0,1832.0,4659.0,12012.0,100727.0,95013.0,100270.0,17319.0,SANTO DOMINGO,PICHINCHA
17,2002,1,90,223.0,311.0,70.0,93.0,243.0,72.0,14.0,15.0,126.0,302.0,99.0,19.0,20.0,139.0,1387.0,280.0,60.0,10.0,12.0,151.0,287.0,103.0,13.0,42.0,110.0,1304.0,3585.0,3675.0,4808.0,697.0,TISALEO,TUNGURAHUA
18,2002,1,95,208.0,198.0,211.0,117.0,241.0,10.0,13.0,7.0,463.0,255.0,233.0,8.0,19.0,817.0,446.0,257.0,9.0,9.0,5.0,550.0,196.0,207.0,10.0,30.0,677.0,273.0,4518.0,3728.0,4735.0,734.0,BALAO,GUAYAS
19,2002,1,100,3539.0,4995.0,1461.0,2907.0,4027.0,939.0,486.0,252.0,2646.0,4859.0,1299.0,315.0,297.0,1562.0,14586.0,4449.0,1011.0,419.0,275.0,3089.0,5040.0,1384.0,388.0,630.0,1323.0,14712.0,48028.0,54340.0,63988.0,12902.0,LATACUNGA,COTOPAXI
20,2002,1,105,1997.0,2864.0,1214.0,2215.0,1509.0,144.0,698.0,49.0,446.0,979.0,271.0,154.0,63.0,379.0,4891.0,1567.0,195.0,638.0,93.0,559.0,905.0,287.0,219.0,132.0,365.0,4301.0,20450.0,22226.0,18844.0,8290.0,PUJILI,COTOPAXI
21,2002,1,110,1580.0,2176.0,609.0,1305.0,1450.0,276.0,412.0,59.0,673.0,1419.0,268.0,94.0,94.0,806.0,5062.0,1545.0,331.0,362.0,84.0,846.0,1442.0,284.0,135.0,195.0,729.0,4837.0,18194.0,19820.0,21403.0,5670.0,SALCEDO,COTOPAXI
22,2002,1,115,609.0,774.0,313.0,617.0,302.0,39.0,275.0,15.0,190.0,539.0,96.0,34.0,14.0,130.0,1817.0,282.0,53.0,227.0,20.0,227.0,534.0,96.0,38.0,39.0,113.0,1686.0,6138.0,6855.0,6766.0,2313.0,SAQUISILI,COTOPAXI
23,2002,1,120,528.0,575.0,297.0,410.0,295.0,19.0,30.0,9.0,87.0,569.0,308.0,109.0,9.0,204.0,885.0,240.0,10.0,19.0,10.0,106.0,490.0,281.0,99.0,39.0,156.0,587.0,5863.0,5223.0,4561.0,1810.0,PANGUA,COTOPAXI
24,2002,1,125,399.0,422.0,633.0,445.0,186.0,88.0,5.0,12.0,208.0,797.0,663.0,12.0,23.0,830.0,261.0,129.0,41.0,7.0,6.0,260.0,542.0,600.0,20.0,41.0,598.0,117.0,6053.0,4830.0,5446.0,1899.0,COLIMES,GUAYAS
25,2002,1,130,58.0,51.0,102.0,145.0,34.0,1.0,5.0,3.0,131.0,124.0,46.0,3.0,10.0,119.0,271.0,20.0,0.0,7.0,8.0,137.0,108.0,40.0,3.0,8.0,74.0,178.0,1464.0,1166.0,1330.0,356.0,NANGARITZA,ZAMORA CHINCHIPE
26,2002,1,135,6365.0,8701.0,1878.0,3241.0,8148.0,6150.0,1189.0,877.0,6755.0,7799.0,3816.0,893.0,775.0,2693.0,21808.0,9197.0,6960.0,882.0,1073.0,8604.0,8020.0,4163.0,911.0,1639.0,2168.0,19133.0,101877.0,108848.0,123653.0,20185.0,AMBATO,TUNGURAHUA
27,2002,1,140,1355.0,1856.0,479.0,709.0,1120.0,313.0,119.0,57.0,688.0,1823.0,481.0,79.0,94.0,1009.0,4773.0,1146.0,295.0,100.0,85.0,772.0,1722.0,532.0,101.0,168.0,973.0,4228.0,16489.0,17141.0,20678.0,4399.0,PELILEO,TUNGURAHUA
28,2002,1,145,1128.0,1563.0,482.0,696.0,1208.0,214.0,101.0,87.0,392.0,1236.0,329.0,49.0,69.0,559.0,4014.0,1269.0,219.0,77.0,76.0,440.0,1274.0,351.0,78.0,206.0,407.0,3935.0,13818.0,14525.0,16590.0,3869.0,PILLARO,TUNGURAHUA
29,2002,1,150,394.0,486.0,181.0,158.0,642.0,98.0,27.0,64.0,307.0,591.0,145.0,31.0,50.0,225.0,2057.0,698.0,114.0,15.0,58.0,416.0,622.0,141.0,36.0,104.0,193.0,1817.0,6744.0,6467.0,8451.0,1219.0,BANOS,TUNGURAHUA
30,2002,1,155,359.0,364.0,122.0,167.0,455.0,65.0,16.0,31.0,172.0,434.0,95.0,33.0,31.0,145.0,1050.0,439.0,48.0,11.0,31.0,186.0,375.0,116.0,39.0,39.0,110.0,913.0,4045.0,3827.0,4834.0,1012.0,PATATE,TUNGURAHUA
31,2002,1,160,538.0,704.0,230.0,323.0,351.0,113.0,38.0,60.0,223.0,783.0,193.0,22.0,37.0,466.0,1661.0,323.0,96.0,33.0,49.0,298.0,718.0,171.0,43.0,90.0,390.0,1400.0,6120.0,6038.0,7558.0,1795.0,QUERO,TUNGURAHUA
32,2002,1,165,2059.0,2709.0,1379.0,1773.0,2194.0,153.0,455.0,113.0,774.0,897.0,625.0,2030.0,191.0,813.0,5425.0,2260.0,196.0,409.0,148.0,1043.0,900.0,590.0,2207.0,242.0,829.0,4039.0,28519.0,30690.0,26533.0,7920.0,GUARANDA,BOLIVAR
33,2002,1,170,324.0,417.0,203.0,197.0,399.0,39.0,25.0,26.0,229.0,334.0,261.0,345.0,27.0,226.0,1023.0,463.0,34.0,15.0,18.0,309.0,296.0,264.0,321.0,35.0,164.0,867.0,5928.0,6153.0,5720.0,1141.0,CHIMBO,BOLIVAR
34,2002,1,175,659.0,744.0,484.0,418.0,744.0,59.0,55.0,31.0,485.0,614.0,319.0,378.0,30.0,361.0,2259.0,776.0,59.0,28.0,45.0,715.0,571.0,330.0,448.0,56.0,292.0,2006.0,10638.0,11081.0,10661.0,2305.0,SAN MIGUEL,BOLIVAR
35,2002,1,180,418.0,579.0,332.0,301.0,766.0,20.0,89.0,8.0,63.0,273.0,320.0,65.0,17.0,515.0,1105.0,796.0,10.0,44.0,13.0,87.0,265.0,310.0,72.0,21.0,416.0,872.0,6489.0,6342.0,6147.0,1630.0,CHILLANES,BOLIVAR
36,2002,1,185,299.0,462.0,277.0,240.0,242.0,9.0,7.0,12.0,82.0,371.0,242.0,119.0,8.0,246.0,1431.0,234.0,10.0,8.0,15.0,102.0,314.0,231.0,121.0,22.0,214.0,966.0,4856.0,4432.0,5006.0,1278.0,ECHEANDIA,BOLIVAR
37,2002,1,190,262.0,393.0,114.0,257.0,170.0,43.0,20.0,124.0,76.0,339.0,148.0,9.0,13.0,170.0,1022.0,195.0,67.0,17.0,105.0,90.0,345.0,207.0,12.0,26.0,145.0,1005.0,3639.0,3952.0,4348.0,1026.0,CHAMBO,CHIMBORAZO
38,2002,1,195,3944.0,6108.0,1579.0,2969.0,5329.0,2773.0,1156.0,1182.0,4249.0,5287.0,1778.0,367.0,346.0,2180.0,14075.0,5851.0,3214.0,1031.0,1384.0,5494.0,5832.0,2002.0,520.0,676.0,2177.0,14497.0,66417.0,75958.0,81400.0,14600.0,RIOBAMBA,CHIMBORAZO
39,2002,1,200,934.0,1583.0,542.0,934.0,886.0,210.0,79.0,97.0,387.0,993.0,245.0,69.0,40.0,403.0,3679.0,931.0,215.0,62.0,98.0,457.0,1054.0,301.0,62.0,75.0,372.0,3556.0,12787.0,14515.0,14271.0,3993.0,GUANO,CHIMBORAZO
40,2002,1,205,1516.0,2224.0,1024.0,1898.0,731.0,94.0,1702.0,95.0,270.0,1216.0,230.0,63.0,31.0,571.0,3291.0,551.0,147.0,1381.0,154.0,294.0,807.0,278.0,195.0,69.0,537.0,2077.0,18870.0,19781.0,14784.0,6662.0,COLTA,CHIMBORAZO
41,2002,1,210,974.0,1636.0,812.0,1431.0,316.0,44.0,693.0,44.0,101.0,560.0,104.0,62.0,29.0,315.0,3409.0,269.0,97.0,674.0,81.0,166.0,422.0,195.0,126.0,60.0,315.0,2376.0,10713.0,10915.0,10458.0,4853.0,GUAMOTE,CHIMBORAZO
42,2002,1,215,1311.0,2008.0,1150.0,1812.0,1000.0,104.0,539.0,83.0,317.0,616.0,231.0,72.0,54.0,614.0,1458.0,975.0,170.0,478.0,109.0,493.0,612.0,225.0,102.0,95.0,566.0,1126.0,14967.0,15158.0,10039.0,6281.0,ALAUSI,CHIMBORAZO
43,2002,1,220,280.0,443.0,294.0,534.0,293.0,23.0,17.0,27.0,110.0,221.0,174.0,16.0,11.0,385.0,361.0,313.0,28.0,18.0,31.0,147.0,230.0,205.0,29.0,33.0,446.0,353.0,5015.0,4943.0,3471.0,1551.0,CHUNCHI,CHIMBORAZO
44,2002,1,225,212.0,235.0,112.0,120.0,220.0,35.0,6.0,56.0,137.0,227.0,69.0,10.0,18.0,173.0,703.0,223.0,40.0,5.0,39.0,173.0,210.0,67.0,7.0,15.0,180.0,691.0,2932.0,2986.0,3304.0,679.0,PENIPE,CHIMBORAZO
45,2002,1,230,607.0,739.0,464.0,335.0,725.0,51.0,16.0,20.0,487.0,623.0,647.0,23.0,9.0,1420.0,211.0,481.0,44.0,5.0,20.0,818.0,459.0,499.0,22.0,30.0,949.0,113.0,8951.0,7771.0,7672.0,2145.0,FLAVIO ALFARO,MANABI
46,2002,1,235,978.0,1898.0,411.0,947.0,1829.0,930.0,87.0,109.0,698.0,1464.0,729.0,58.0,106.0,712.0,3401.0,2833.0,1175.0,125.0,171.0,1164.0,2114.0,1009.0,85.0,213.0,778.0,4915.0,26255.0,28914.0,24705.0,4234.0,AZOGUES,CANAR
47,2002,1,240,1120.0,1752.0,715.0,1173.0,928.0,753.0,279.0,122.0,278.0,916.0,973.0,46.0,63.0,557.0,2192.0,1207.0,998.0,347.0,164.0,389.0,1207.0,1240.0,62.0,57.0,636.0,2726.0,20157.0,20063.0,16140.0,4760.0,CANAR,CANAR
48,2002,1,241,97.0,185.0,126.0,256.0,91.0,22.0,21.0,4.0,39.0,154.0,27.0,1.0,6.0,52.0,337.0,81.0,28.0,13.0,6.0,33.0,141.0,25.0,11.0,65.0,41.0,351.0,2399.0,2120.0,1549.0,664.0,SUSCAL,CANAR
49,2002,1,245,320.0,676.0,198.0,266.0,508.0,113.0,32.0,30.0,120.0,425.0,274.0,11.0,20.0,124.0,915.0,846.0,161.0,62.0,46.0,220.0,665.0,460.0,22.0,60.0,171.0,1493.0,9537.0,10015.0,6778.0,1460.0,BIBLIAN,CANAR
50,2002,1,250,677.0,826.0,349.0,309.0,509.0,68.0,112.0,59.0,382.0,722.0,438.0,18.0,68.0,1482.0,2620.0,589.0,90.0,123.0,44.0,494.0,691.0,481.0,17.0,147.0,1559.0,2266.0,13418.0,12096.0,12979.0,2161.0,LA TRONCAL,CANAR
51,2002,1,255,82.0,86.0,64.0,67.0,96.0,3.0,5.0,11.0,28.0,119.0,44.0,4.0,7.0,37.0,877.0,66.0,4.0,3.0,16.0,19.0,75.0,32.0,3.0,6.0,32.0,745.0,1816.0,1622.0,2232.0,299.0,EL CHACO,NAPO
