,AÑO,VUELTA,PARROQUIA_CODIGO,VOTOS_NULOS_M,VOTOS_NULOS_F,VOTOS_BLANCOS_M,VOTOS_BLANCOS_F,VC_BORJA_M,VC_VELAZQUEZ_M,VC_VARGAS_M,VC_HURTADO_M,VC_ROLDOS_M,VC_NOBOA_M,VC_NEIRA_M,VC_ALARCON_M,VC_JUEZ_M,VC_BUCARAM_M,VC_GUTIERREZ_M,VC_BORJA_F,VC_VELAZQUEZ_F,VC_VARGAS_F,VC_HURTADO_F,VC_ROLDOS_F,VC_NOBOA_F,VC_NEIRA_F,VC_ALARCON_F,VC_JUEZ_F,VC_BUCARAM_F,VC_GUTIERREZ_F,ELECTORES_M,ELECTORAS_F,VOTOS VALIDOS,VOTOS_INVALIDOS,PARROQUIA_NOMBRE,CANTON_NOMBRE,PROVINCIA_NOMBRE
0,2002,1,5,28.0,32.0,23.0,13.0,23.0,0.0,0.0,1.0,18.0,4.0,37.0,0.0,0.0,68.0,49.0,19.0,0.0,1.0,0.0,16.0,3.0,18.0,3.0,0.0,52.0,33.0,448.0,427.0,345.0,96.0,ABANIN,ZARUMA,EL ORO
1,2002,1,10,334.0,355.0,277.0,174.0,128.0,197.0,2.0,26.0,331.0,600.0,404.0,9.0,21.0,812.0,99.0,138.0,186.0,6.0,19.0,411.0,593.0,380.0,6.0,32.0,569.0,62.0,5211.0,4746.0,5031.0,1140.0,ABDON CALDERON,PORTOVIEJO,MANABI
2,2002,1,15,43.0,44.0,35.0,36.0,126.0,8.0,5.0,2.0,52.0,78.0,35.0,4.0,11.0,53.0,87.0,101.0,9.0,21.0,0.0,76.0,59.0,34.0,0.0,6.0,66.0,71.0,937.0,779.0,904.0,158.0,ABDON CALDERON/LA,STA.ISABEL,AZUAY
3,2002,1,20,311.0,509.0,261.0,515.0,103.0,16.0,150.0,13.0,27.0,99.0,24.0,17.0,7.0,250.0,318.0,84.0,26.0,126.0,20.0,31.0,72.0,27.0,29.0,7.0,184.0,186.0,2911.0,2902.0,1816.0,1596.0,ACHUPALLAS,ALAUSI,CHIMBORAZO
4,2002,1,25,59.0,73.0,71.0,82.0,15.0,2.0,15.0,3.0,16.0,50.0,16.0,4.0,8.0,13.0,537.0,19.0,0.0,2.0,3.0,9.0,47.0,16.0,6.0,12.0,15.0,372.0,1228.0,1143.0,1180.0,285.0,AHUANO,TENA,NAPO
5,2002,1,30,228.0,252.0,78.0,122.0,650.0,65.0,29.0,36.0,338.0,406.0,58.0,50.0,41.0,75.0,731.0,735.0,61.0,31.0,36.0,426.0,374.0,70.0,57.0,67.0,62.0,743.0,3642.0,3926.0,5141.0,680.0,ALANGASI,QUITO,PICHINCHA
6,2002,1,35,154.0,218.0,75.0,160.0,166.0,20.0,22.0,3.0,74.0,217.0,53.0,17.0,12.0,77.0,697.0,185.0,20.0,13.0,10.0,77.0,206.0,46.0,18.0,25.0,81.0,699.0,2134.0,2398.0,2738.0,607.0,ALAQUEZ,LATACUNGA,COTOPAXI
7,2002,1,40,36.0,70.0,11.0,31.0,5.0,0.0,3.0,1.0,7.0,15.0,8.0,2.0,2.0,16.0,113.0,9.0,1.0,0.0,4.0,10.0,16.0,8.0,3.0,1.0,14.0,53.0,246.0,249.0,291.0,148.0,STA. FE DE GALAN,GUANO,CHIMBORAZO
8,2002,1,45,25.0,32.0,19.0,19.0,7.0,1.0,0.0,2.0,9.0,46.0,1.0,3.0,0.0,6.0,55.0,13.0,1.0,0.0,2.0,6.0,45.0,18.0,1.0,1.0,7.0,46.0,218.0,247.0,270.0,95.0,SAN JOSE DE CHAZO,GUANO,CHIMBORAZO
9,2002,1,50,163.0,190.0,144.0,79.0,70.0,53.0,3.0,2.0,143.0,276.0,104.0,12.0,2.0,302.0,86.0,46.0,42.0,3.0,8.0,159.0,312.0,123.0,4.0,16.0,220.0,40.0,3175.0,2744.0,2026.0,576.0,ALHAJUELA/BAJO GRA,PORTOVIEJO,MANABI
