,AÑO,VUELTA,CANTON_CODIGO,VOTOS_NULOS_M,VOTOS_NULOS_F,VOTOS_BLANCOS_M,VOTOS_BLANCOS_F,VC_NOBOA_M,VC_GUTIERREZ_M,VC_NOBOA_F,VC_GUTIERREZ_F,ELECTORES_M,ELECTORAS_F,VOTOS VALIDOS,VOTOS_INVALIDOS,CANTON_NOMBRE,PROVINCIA_NOMBRE
0,2002,2,5,1776.0,2137.0,142.0,118.0,8831.0,9442.0,9683.0,8837.0,26308.0,26757.0,36793.0,4173.0,TULCAN,CARCHI
1,2002,2,10,846.0,987.0,44.0,69.0,2695.0,4920.0,3062.0,4715.0,10646.0,11151.0,15392.0,1946.0,MONTUFAR,CARCHI
2,2002,2,15,349.0,419.0,21.0,31.0,1250.0,2510.0,1326.0,2478.0,5195.0,5475.0,7564.0,820.0,ESPEJO,CARCHI
3,2002,2,20,344.0,499.0,30.0,26.0,925.0,2075.0,978.0,1827.0,4530.0,4469.0,5805.0,899.0,MIRA,CARCHI
4,2002,2,25,362.0,421.0,24.0,42.0,1355.0,2217.0,1381.0,1869.0,5210.0,5034.0,6822.0,849.0,BOLIVAR,CARCHI
5,2002,2,30,4568.0,5419.0,257.0,373.0,12571.0,20887.0,14795.0,21167.0,51198.0,55498.0,69420.0,10617.0,IBARRA,IMBABURA
6,2002,2,35,2464.0,3826.0,214.0,348.0,5542.0,11483.0,6701.0,12054.0,29692.0,32786.0,35780.0,6852.0,OTAVALO,IMBABURA
7,2002,2,40,1204.0,1399.0,83.0,183.0,1934.0,5207.0,2215.0,4432.0,12337.0,12092.0,13788.0,2869.0,COTACACHI,IMBABURA
8,2002,2,45,1136.0,1476.0,103.0,73.0,2534.0,5275.0,2947.0,5553.0,11694.0,12791.0,16309.0,2788.0,ANTONIO ANTE,IMBABURA
9,2002,2,50,501.0,629.0,44.0,46.0,1107.0,2608.0,1230.0,2181.0,5753.0,5560.0,7126.0,1220.0,PIMAMPIRO,IMBABURA
10,2002,2,55,530.0,613.0,43.0,71.0,1238.0,2278.0,1240.0,1987.0,5381.0,5322.0,6743.0,1257.0,URCUQUI,IMBABURA
11,2002,2,60,62124.0,76247.0,2247.0,2276.0,93358.0,279923.0,100960.0,295563.0,592922.0,643342.0,769804.0,142894.0,QUITO,PICHINCHA
12,2002,2,65,1648.0,2278.0,143.0,316.0,3142.0,10708.0,3472.0,10769.0,19542.0,20830.0,28091.0,4385.0,CAYAMBE,PICHINCHA
13,2002,2,70,1390.0,1809.0,95.0,100.0,2730.0,10540.0,2651.0,11095.0,18726.0,19870.0,27016.0,3394.0,MEJIA,PICHINCHA
14,2002,2,75,627.0,684.0,42.0,57.0,971.0,3524.0,1140.0,3702.0,6596.0,7077.0,9337.0,1410.0,PEDRO MONCAYO,PICHINCHA
15,2002,2,80,1978.0,2505.0,89.0,88.0,3870.0,10998.0,4001.0,11138.0,21161.0,22415.0,30007.0,4660.0,RUMINAHUI,PICHINCHA
16,2002,2,85,5303.0,6900.0,617.0,572.0,21453.0,41235.0,22878.0,35501.0,100727.0,95013.0,121067.0,13392.0,SANTO DOMINGO,PICHINCHA
17,2002,2,90,218.0,284.0,15.0,13.0,376.0,2253.0,410.0,2244.0,3585.0,3675.0,5283.0,530.0,TISALEO,TUNGURAHUA
18,2002,2,95,230.0,239.0,35.0,55.0,992.0,1984.0,1017.0,1485.0,4518.0,3728.0,5478.0,559.0,BALAO,GUAYAS
19,2002,2,100,4081.0,5572.0,225.0,488.0,7724.0,26617.0,8343.0,29020.0,48028.0,54340.0,71704.0,10366.0,LATACUNGA,COTOPAXI
20,2002,2,105,1969.0,3108.0,170.0,373.0,1860.0,10616.0,2242.0,10310.0,20450.0,22226.0,25028.0,5620.0,PUJILI,COTOPAXI
21,2002,2,110,1486.0,2099.0,105.0,139.0,2062.0,10065.0,2474.0,10511.0,18194.0,19820.0,25112.0,3829.0,SALCEDO,COTOPAXI
22,2002,2,115,583.0,835.0,26.0,61.0,865.0,3256.0,956.0,3285.0,6138.0,6855.0,8362.0,1505.0,SAQUISILI,COTOPAXI
23,2002,2,120,398.0,494.0,24.0,50.0,833.0,2678.0,795.0,2138.0,5863.0,5223.0,6444.0,966.0,PANGUA,COTOPAXI
24,2002,2,125,394.0,388.0,66.0,119.0,2101.0,1828.0,2107.0,1131.0,6053.0,4830.0,7167.0,967.0,COLIMES,GUAYAS
25,2002,2,130,34.0,65.0,6.0,3.0,289.0,573.0,262.0,421.0,1464.0,1166.0,1545.0,108.0,NANGARITZA,ZAMORA CHINCHIPE
26,2002,2,135,8477.0,11694.0,479.0,827.0,16250.0,48033.0,18732.0,47788.0,101877.0,108848.0,130803.0,21477.0,AMBATO,TUNGURAHUA
27,2002,2,140,1308.0,1721.0,93.0,129.0,2723.0,9122.0,2712.0,9114.0,16489.0,17141.0,23671.0,3251.0,PELILEO,TUNGURAHUA
28,2002,2,145,1184.0,1607.0,61.0,136.0,1602.0,7775.0,1735.0,7853.0,13818.0,14525.0,18965.0,2988.0,PILLARO,TUNGURAHUA
29,2002,2,150,508.0,600.0,32.0,45.0,1046.0,3492.0,1110.0,3305.0,6744.0,6467.0,8953.0,1185.0,BANOS,TUNGURAHUA
30,2002,2,155,328.0,397.0,20.0,27.0,687.0,2159.0,605.0,1975.0,4045.0,3827.0,5426.0,772.0,PATATE,TUNGURAHUA
31,2002,2,160,445.0,565.0,24.0,66.0,1112.0,3421.0,1109.0,3175.0,6120.0,6038.0,8817.0,1100.0,QUERO,TUNGURAHUA
32,2002,2,165,2814.0,4098.0,164.0,339.0,4063.0,13015.0,4817.0,11159.0,28519.0,30690.0,33054.0,7415.0,GUARANDA,BOLIVAR
33,2002,2,170,423.0,572.0,25.0,35.0,1104.0,2437.0,1215.0,2108.0,5928.0,6153.0,6864.0,1055.0,CHIMBO,BOLIVAR
34,2002,2,175,710.0,885.0,36.0,63.0,1452.0,5054.0,1605.0,4880.0,10638.0,11081.0,12991.0,1694.0,SAN MIGUEL,BOLIVAR
35,2002,2,180,354.0,581.0,40.0,58.0,887.0,3304.0,1000.0,2795.0,6489.0,6342.0,7986.0,1033.0,CHILLANES,BOLIVAR
36,2002,2,185,247.0,323.0,21.0,34.0,1110.0,2362.0,1125.0,1782.0,4856.0,4432.0,6379.0,625.0,ECHEANDIA,BOLIVAR
37,2002,2,190,259.0,394.0,19.0,46.0,548.0,1784.0,615.0,1836.0,3639.0,3952.0,4783.0,718.0,CHAMBO,CHIMBORAZO
38,2002,2,195,6977.0,9074.0,1166.0,941.0,7604.0,30945.0,9466.0,34997.0,66417.0,75958.0,83012.0,18158.0,RIOBAMBA,CHIMBORAZO
39,2002,2,200,973.0,1306.0,59.0,133.0,1463.0,6442.0,1643.0,6916.0,12787.0,14515.0,16464.0,2471.0,GUANO,CHIMBORAZO
40,2002,2,205,1543.0,2634.0,108.0,258.0,2490.0,8885.0,2588.0,7390.0,18870.0,19781.0,21353.0,4543.0,COLTA,CHIMBORAZO
41,2002,2,210,1153.0,2120.0,46.0,115.0,1171.0,6008.0,1397.0,4972.0,10713.0,10915.0,13548.0,3434.0,GUAMOTE,CHIMBORAZO
42,2002,2,215,1443.0,2604.0,155.0,255.0,1389.0,5688.0,1758.0,5024.0,14967.0,15158.0,13859.0,4457.0,ALAUSI,CHIMBORAZO
43,2002,2,220,288.0,559.0,18.0,90.0,501.0,1535.0,703.0,1684.0,5015.0,4943.0,4423.0,955.0,CHUNCHI,CHIMBORAZO
44,2002,2,225,176.0,246.0,12.0,20.0,384.0,1444.0,378.0,1352.0,2932.0,2986.0,3558.0,454.0,PENIPE,CHIMBORAZO
45,2002,2,230,527.0,667.0,108.0,183.0,2741.0,3021.0,2681.0,2045.0,8951.0,7771.0,10488.0,1485.0,FLAVIO ALFARO,MANABI
46,2002,2,235,1312.0,2058.0,81.0,139.0,2831.0,7857.0,4104.0,11810.0,26255.0,28914.0,26602.0,3590.0,AZOGUES,CANAR
47,2002,2,240,1167.0,1988.0,93.0,178.0,2213.0,5782.0,3099.0,7096.0,20157.0,20063.0,18190.0,3426.0,CANAR,CANAR
48,2002,2,241,97.0,214.0,9.0,17.0,274.0,656.0,327.0,701.0,2399.0,2120.0,1958.0,337.0,SUSCAL,CANAR
49,2002,2,245,314.0,622.0,31.0,61.0,659.0,2120.0,1109.0,3454.0,9537.0,10015.0,7342.0,1028.0,BIBLIAN,CANAR
50,2002,2,250,631.0,905.0,51.0,78.0,1612.0,5658.0,1932.0,5297.0,13418.0,12096.0,14499.0,1665.0,LA TRONCAL,CANAR
