Column1;PROVINCIA_CODIGO;PROVINCIA_NOMBRE;CANTON_CODIGO;CANTON_NOMBRE;DPA_CANTON
29;4;CARCHI;5;TULCÁN;0401
33;4;CARCHI;10;MONTÚFAR;0405
31;4;CARCHI;15;ESPEJO;0403
32;4;CARCHI;20;MIRA;0404
30;4;CARCHI;25;BOLÍVAR;0402
98;10;IMBABURA;30;IBARRA;1001
101;10;IMBABURA;35;OTAVALO;1004
100;10;IMBABURA;40;COTACACHI;1003
99;10;IMBABURA;45;ANTONIO ANTE;1002
102;10;IMBABURA;50;PIMAMPIRO;1005
103;10;IMBABURA;55;SAN MIGUEL DE URCUQUÍ;1006
176;17;PICHINCHA;60;DISTRITO METROPOLITANO DE QUITO;1701
177;17;PICHINCHA;65;CAYAMBE;1702
178;17;PICHINCHA;70;MEJÍA;1703
179;17;PICHINCHA;75;PEDRO MONCAYO;1704
180;17;PICHINCHA;80;RUMIÑAHUI;1705
216;23;SANTO DOMINGO DE LOS TSÁCHILAS;85;SANTO DOMINGO;2301
192;18;TUNGURAHUA;90;TISALEO;1809
75;9;GUAYAS;95;BALAO;0903
35;5;COTOPAXI;100;LATACUNGA;0501
38;5;COTOPAXI;105;PUJILÍ;0504
39;5;COTOPAXI;110;SALCEDO;0505
40;5;COTOPAXI;115;SAQUISILÍ;0506
37;5;COTOPAXI;120;PANGUA;0503
77;9;GUAYAS;125;COLIMES;0905
195;19;ZAMORA CHINCHIPE;130;NANGARITZA;1903
184;18;TUNGURAHUA;135;AMBATO;1801
190;18;TUNGURAHUA;140;SAN PEDRO DE PELILEO;1807
191;18;TUNGURAHUA;145;SANTIAGO DE PÍLLARO;1808
185;18;TUNGURAHUA;150;BAÑOS DE AGUA SANTA;1802
188;18;TUNGURAHUA;155;PATATE;1805
189;18;TUNGURAHUA;160;QUERO;1806
15;2;BOLIVAR;165;GUARANDA;0201
17;2;BOLIVAR;170;CHIMBO;0203
19;2;BOLIVAR;175;SAN MIGUEL;0205
16;2;BOLIVAR;180;CHILLANES;0202
18;2;BOLIVAR;185;ECHEANDÍA;0204
45;6;CHIMBORAZO;190;CHAMBO;0604
42;6;CHIMBORAZO;195;RIOBAMBA;0601
48;6;CHIMBORAZO;200;GUANO;0607
44;6;CHIMBORAZO;205;COLTA;0603
47;6;CHIMBORAZO;210;GUAMOTE;0606
43;6;CHIMBORAZO;215;ALAUSÍ;0602
46;6;CHIMBORAZO;220;CHUNCHI;0605
50;6;CHIMBORAZO;225;PENIPE;0609
137;13;MANABI;230;FLAVIO ALFARO;1305
22;3;CANAR;235;AZOGUES;0301
24;3;CANAR;240;CAÑAR;0303
28;3;CANAR;241;SUSCAL;0307
23;3;CANAR;245;BIBLIÁN;0302
25;3;CANAR;250;LA TRONCAL;0304
169;15;NAPO;255;EL CHACO;1504
0;1;AZUAY;260;CUENCA;0101
2;1;AZUAY;265;GUALACEO;0103
1;1;AZUAY;270;GIRÓN;0102
4;1;AZUAY;275;PAUTE;0105
8;1;AZUAY;280;SÍGSIG;0109
7;1;AZUAY;285;SANTA ISABEL;0108
106;11;LOJA;290;CATAMAYO;1103
116;11;LOJA;295;ZAPOTILLO;1113
104;11;LOJA;300;LOJA;1101
114;11;LOJA;305;SARAGURO;1111
112;11;LOJA;310;PALTAS;1109
119;11;LOJA;311;OLMEDO;1116
107;11;LOJA;315;CELICA;1104
105;11;LOJA;320;CALVAS;1102
111;11;LOJA;325;MACARÁ;1108
113;11;LOJA;330;PUYANGO;1110
110;11;LOJA;335;GONZANAMÁ;1107
109;11;LOJA;340;ESPÍNDOLA;1106
115;11;LOJA;345;SOZORANGA;1112
52;7;EL ORO;350;MACHALA;0701
63;7;EL ORO;355;SANTA ROSA;0712
64;7;EL ORO;360;ZARUMA;0713
60;7;EL ORO;365;PASAJE;0709
61;7;EL ORO;370;PIÑAS;0710
53;7;EL ORO;375;ARENILLAS;0702
57;7;EL ORO;380;EL GUABO;0706
80;9;GUAYAS;385;EL EMPALME;0908
73;9;GUAYAS;390;GUAYAQUIL;0901
90;9;GUAYAS;395;SAN JACINTO DE YAGUACHI;0920
78;9;GUAYAS;400;DAULE;0906
220;24;SANTA ELENA;405;SALINAS;2403
218;24;SANTA ELENA;410;SANTA ELENA;2401
76;9;GUAYAS;415;BALZAR;0904
82;9;GUAYAS;420;MILAGRO;0910
87;9;GUAYAS;425;SAMBORONDÓN;0916
