,PROVINCIA_CODIGO,PROVINCIA_NOMBRE,CANTON_CODIGO,CANTON_NOMBRE,PARROQUIA_CODIGO,PARROQUIA_NOMBRE,PARROQUIA_ESTADO
0,1.0,AZUAY,260.0,CUENCA,285.0,BANOS,RURAL
1,1.0,AZUAY,260.0,CUENCA,730.0,CUMBE,RURAL
2,1.0,AZUAY,260.0,CUENCA,845.0,CHAUCHA/ANGAS,RURAL
3,1.0,AZUAY,260.0,CUENCA,860.0,CHECA JIDCAY,RURAL
4,1.0,AZUAY,260.0,CUENCA,905.0,CHIQUINTAD,RURAL
5,1.0,AZUAY,260.0,CUENCA,2255.0,LLACAO,RURAL
6,1.0,AZUAY,260.0,CUENCA,2430.0,MOLLETURO,RURAL
7,1.0,AZUAY,260.0,CUENCA,2570.0,MULTI NULTI,RURAL
8,1.0,AZUAY,260.0,CUENCA,2595.0,OCTAVIO CORDERO P.,RURAL
9,1.0,AZUAY,260.0,CUENCA,2680.0,PACCHA,RURAL
10,1.0,AZUAY,260.0,CUENCA,3105.0,QUINGEO,RURAL
11,1.0,AZUAY,260.0,CUENCA,3165.0,RICAURTE,RURAL
12,1.0,AZUAY,260.0,CUENCA,3460.0,SAN JOAQUIN,RURAL
13,1.0,AZUAY,260.0,CUENCA,3685.0,SANTA ANA,RURAL
14,1.0,AZUAY,260.0,CUENCA,3795.0,SAYAUSI,RURAL
15,1.0,AZUAY,260.0,CUENCA,3850.0,SIDCAY,RURAL
16,1.0,AZUAY,260.0,CUENCA,3870.0,SININCAY,RURAL
17,1.0,AZUAY,260.0,CUENCA,3980.0,TARQUI,RURAL
18,1.0,AZUAY,260.0,CUENCA,4095.0,TURI,RURAL
19,1.0,AZUAY,260.0,CUENCA,4200.0,VALLE,RURAL
20,1.0,AZUAY,260.0,CUENCA,4225.0,VICTORIA DEL PORT.,RURAL
21,1.0,AZUAY,260.0,CUENCA,5075.0,BELLAVISTA,URBANA
22,1.0,AZUAY,260.0,CUENCA,5080.0,CANARIBAMBA,URBANA
23,1.0,AZUAY,260.0,CUENCA,5135.0,EL BATAN,URBANA
24,1.0,AZUAY,260.0,CUENCA,5140.0,MACHANGARA,URBANA
25,1.0,AZUAY,260.0,CUENCA,5290.0,MONAY,URBANA
26,1.0,AZUAY,260.0,CUENCA,5330.0,EL VECINO,URBANA
27,1.0,AZUAY,260.0,CUENCA,5360.0,TOTORACOCHA,URBANA
28,1.0,AZUAY,260.0,CUENCA,5370.0,YANUNCAY,URBANA
29,1.0,AZUAY,260.0,CUENCA,5450.0,HUAYNACAPAC,URBANA
30,1.0,AZUAY,260.0,CUENCA,5875.0,RAMIREZ DAVALOS,URBANA
31,1.0,AZUAY,260.0,CUENCA,5905.0,SAGRARIO,URBANA
32,1.0,AZUAY,260.0,CUENCA,5930.0,SAN BLAS,URBANA
33,1.0,AZUAY,260.0,CUENCA,6010.0,SAN SEBASTIAN,URBANA
34,1.0,AZUAY,260.0,CUENCA,6090.0,SUCRE,URBANA
35,1.0,AZUAY,260.0,CUENCA,6865.0,HERMANO MIGUEL,URBANA
36,1.0,AZUAY,265.0,GUALACEO,1005.0,DANIEL CORDOVA T.,RURAL
37,1.0,AZUAY,265.0,GUALACEO,1760.0,LUIS CORDERO VEGA,RURAL
38,1.0,AZUAY,265.0,GUALACEO,1805.0,JADAN,RURAL
39,1.0,AZUAY,265.0,GUALACEO,2385.0,MARIANO MORENO/CAL,RURAL
40,1.0,AZUAY,265.0,GUALACEO,3160.0,REMIGIO CRESPO T.,RURAL
41,1.0,AZUAY,265.0,GUALACEO,3505.0,SAN JUAN,RURAL
42,1.0,AZUAY,265.0,GUALACEO,4340.0,ZHIDMAD,RURAL
43,1.0,AZUAY,265.0,GUALACEO,5420.0,GUALACEO,URBANA
44,1.0,AZUAY,270.0,GIRON,175.0,ASUNCION,RURAL
45,1.0,AZUAY,270.0,GIRON,885.0,SAN GERARDO,RURAL
46,1.0,AZUAY,270.0,GIRON,5395.0,GIRON,URBANA
47,1.0,AZUAY,275.0,PAUTE,395.0,BULAN/JV.IZQUIERDO,RURAL
48,1.0,AZUAY,275.0,PAUTE,870.0,CHICAN / G.ORTEGA,RURAL
49,1.0,AZUAY,275.0,PAUTE,890.0,DUG-DUG,RURAL
50,1.0,AZUAY,275.0,PAUTE,1455.0,GUARAINAC,RURAL
51,1.0,AZUAY,275.0,PAUTE,3375.0,SAN CRISTOBAL,RURAL
52,1.0,AZUAY,275.0,PAUTE,4050.0,TOMEBAMBA,RURAL
53,1.0,AZUAY,275.0,PAUTE,4565.0,EL CABO,RURAL
54,1.0,AZUAY,275.0,PAUTE,5775.0,PAUTE,URBANA
