,DIGNIDAD_CODIGO,DIGNIDAD_NOMBRE,CANDIDATO_PROVINCIA_CODIGO,CANDIDATO_PROVINCIA_NOMBRE,CANDIDATO_CANTON_CODIGO,CANDIDATO_CANTON_NOMBRE,OP_CODIGO,CANDIDATO_CODIGO,CANDIDATO_NOMBRE,CANDIDATO_SEXO,CANDIDATO_EDAD,CANDIDATO_ORDEN_LISTA,SUPLENTE1_NOMBRE,SUPLENTE1_SEXO,SUPLENTE1_EDAD,SUPLENTE2_NOMBRE,SUPLENTE2_SEXO,SUPLENTE2_EDAD,CANDIDATO_ESTADO
0,4.0,ALCALDES,14.0,MORONA SANTIAGO,796.0,PABLO SEXTO,18.0,4147960000002.0,ANTUNI CATANI RAFAEL DOMINGO,HOMBRES,41.0,1.0,,,,,,,NO ELECTOS
1,4.0,ALCALDES,1.0,AZUAY,556.0,CAMILO PONCE ENRIQUEZ,15560000203.0,4015560000002.0,CEDILLO GUAMAN ELMER JORGE,HOMBRES,41.0,1.0,,,,,,,NO ELECTOS
2,4.0,ALCALDES,1.0,AZUAY,556.0,CAMILO PONCE ENRIQUEZ,15560000047.0,4015560000008.0,SANCHEZ DELGADO ALCIDES GILBERTO,HOMBRES,43.0,1.0,,,,,,,NO ELECTOS
3,4.0,ALCALDES,1.0,AZUAY,556.0,CAMILO PONCE ENRIQUEZ,15560000204.0,4015560000003.0,MALDONADO ESPARZA JORGE EDUARDO,HOMBRES,44.0,1.0,,,,,,,NO ELECTOS
4,4.0,ALCALDES,1.0,AZUAY,556.0,CAMILO PONCE ENRIQUEZ,21.0,4015560000007.0,BERREZUETA PESANTEZ LUIS MARCO,HOMBRES,45.0,1.0,,,,,,,NO ELECTOS
5,4.0,ALCALDES,1.0,AZUAY,556.0,CAMILO PONCE ENRIQUEZ,12.0,4015560000006.0,BERMEO MURILLO VIDAL HERIBERTO,HOMBRES,46.0,1.0,,,,,,,NO ELECTOS
6,4.0,ALCALDES,1.0,AZUAY,556.0,CAMILO PONCE ENRIQUEZ,10.0,4015560000005.0,TELCAN ESTRADA RUPERTO JOSE,HOMBRES,51.0,1.0,,,,,,,NO ELECTOS
7,4.0,ALCALDES,14.0,MORONA SANTIAGO,796.0,PABLO SEXTO,7.0,4147960000001.0,SALINAS TANDAZO FRANCISCO RENE,HOMBRES,52.0,1.0,,,,,,,NO ELECTOS
8,4.0,ALCALDES,1.0,AZUAY,556.0,CAMILO PONCE ENRIQUEZ,202.0,4015560000001.0,ARMIJOS LOYOLA SANTOS SERGIO,HOMBRES,64.0,1.0,,,,,,,NO ELECTOS
9,5.0,CONCEJAL MUNICIPAL,13.0,MANABÍ,490.0,JUNIN,4.0,5134900000009.0,DELGADO CARBO JORGE LUIS,HOMBRES,20.0,3.0,ALCIVAR AVILA JIMMY DAGOBERTO,HOMBRES,20.0,,,,NO ELECTOS
