,OP_CODIGO,OP_PROVINCIA_CODIGO,OP_CANTON_CODIGO,OP_PARROQUIA_CODIGO,OP_TIPO,OP_AMBITO,OP_NOMBRE,OP_SIGLAS,OP_LISTA
0,1.0,0.0,0.0,0.0,PARTIDOS POLITICOS,NACIONAL,PARTIDO UNION NACIONAL UNO,UN - UNO,1
1,2.0,0.0,0.0,0.0,PARTIDOS POLITICOS,NACIONAL,PARTIDO LIBERAL RADICAL ECUATORIANO,PLRE,2
2,3.0,0.0,0.0,0.0,PARTIDOS POLITICOS,NACIONAL,PARTIDO SOCIEDAD PATRIOTICA 21 DE ENERO,PSP,3
3,4.0,0.0,0.0,0.0,PARTIDOS POLITICOS,NACIONAL,PARTIDO CONCENTRACION DE FUERZAS POPULARES,CFP,4
4,5.0,0.0,0.0,0.0,PARTIDOS POLITICOS,NACIONAL,PARTIDO DEMOCRACIA POPULAR - UNION DEMOCRATA CRISTIANA,DP-UDC,5
5,6.0,0.0,0.0,0.0,PARTIDOS POLITICOS,NACIONAL,PARTIDO SOCIAL CRISTIANO,PSC,6
6,7.0,0.0,0.0,0.0,PARTIDOS POLITICOS,NACIONAL,PARTIDO RENOVADOR INSTITUCIONAL ACCION NACIONAL,PRIAN,7
7,10.0,0.0,0.0,0.0,PARTIDOS POLITICOS,NACIONAL,PARTIDO ROLDOSISTA ECUATORIANO,PRE,10
8,11.0,0.0,0.0,0.0,PARTIDOS POLITICOS,NACIONAL,PARTIDO LIBERTAD,PL,11
9,12.0,0.0,0.0,0.0,PARTIDOS POLITICOS,NACIONAL,PARTIDO IZQUIERDA DEMOCRATICA,ID,12
10,14.0,0.0,0.0,0.0,PARTIDOS POLITICOS,NACIONAL,PARTIDO ALFARISMO NACIONAL,AN,14
11,15.0,0.0,0.0,0.0,PARTIDOS POLITICOS,NACIONAL,PARTIDO MOVIMIENTO POPULAR DEMOCRATICO,MPD,15
12,17.0,0.0,0.0,0.0,PARTIDOS POLITICOS,NACIONAL,PARTIDO SOCIALISTA - FRENTE AMPLIO,PS-FA,17
13,18.0,0.0,0.0,0.0,MOVIMIENTOS NACIONALES,NACIONAL,MOVIMIENTO UNIDAD PLURINACIONAL PACHAKUTIK - NUEVO PAIS,MUPP-NP,18
14,19.0,0.0,0.0,0.0,MOVIMIENTOS NACIONALES,NACIONAL,MOVIMIENTO REALIDAD 2000,MR2000,19
