,PROVINCIA_CODIGO,CANTON_CODIGO,PARROQUIA_CODIGO,SEXO,GRANDES_GRUPOS_DE_EDAD_1V,ELECTORES
0,1.0,260.0,285.0,HOMBRES,DE 18 A MENOS DE 65 AÑOS,5531.0
1,1.0,260.0,285.0,HOMBRES,DE 65 AÑOS Y MÁS,519.0
2,1.0,260.0,285.0,MUJERES,DE 18 A MENOS DE 65 AÑOS,5582.0
3,1.0,260.0,285.0,MUJERES,DE 65 AÑOS Y MÁS,541.0
4,1.0,260.0,730.0,HOMBRES,DE 18 A MENOS DE 65 AÑOS,1880.0
5,1.0,260.0,730.0,HOMBRES,DE 65 AÑOS Y MÁS,235.0
6,1.0,260.0,730.0,MUJERES,DE 18 A MENOS DE 65 AÑOS,2062.0
7,1.0,260.0,730.0,MUJERES,DE 65 AÑOS Y MÁS,217.0
8,1.0,260.0,845.0,HOMBRES,DE 18 A MENOS DE 65 AÑOS,420.0
9,1.0,260.0,845.0,HOMBRES,DE 65 AÑOS Y MÁS,57.0
10,1.0,260.0,845.0,MUJERES,DE 18 A MENOS DE 65 AÑOS,430.0
11,1.0,260.0,845.0,MUJERES,DE 65 AÑOS Y MÁS,47.0
12,1.0,260.0,860.0,HOMBRES,DE 18 A MENOS DE 65 AÑOS,1467.0
13,1.0,260.0,860.0,HOMBRES,DE 65 AÑOS Y MÁS,208.0
14,1.0,260.0,860.0,MUJERES,DE 18 A MENOS DE 65 AÑOS,1456.0
15,1.0,260.0,860.0,MUJERES,DE 65 AÑOS Y MÁS,171.0
16,1.0,260.0,905.0,HOMBRES,DE 18 A MENOS DE 65 AÑOS,1654.0
17,1.0,260.0,905.0,HOMBRES,DE 65 AÑOS Y MÁS,203.0
18,1.0,260.0,905.0,MUJERES,DE 18 A MENOS DE 65 AÑOS,1748.0
19,1.0,260.0,905.0,MUJERES,DE 65 AÑOS Y MÁS,205.0
20,1.0,260.0,2255.0,HOMBRES,DE 18 A MENOS DE 65 AÑOS,952.0
21,1.0,260.0,2255.0,HOMBRES,DE 65 AÑOS Y MÁS,156.0
