,AÑO,VUELTA,CODIGO_INEC,CANTON_CODIGO,CANTON_NOMBRE,PROVINCIA_NOMBRE,VOTOS_NULOS_M,VOTOS_NULOS_F,VOTOS_BLANCOS_M,VOTOS_BLANCOS_F,VC_NOBOA_M,VC_CORREA_M,VC_NOBOA_F,VC_CORREA_F,VC_GUTIERREZ_M,VC_DAMERVAL_M,VC_VITERI_M,VC_ROSERO_M,VC_ROLDOS_M,VC_SAGNAY_M,VC_VILLACIS_M,VC_MACAS_M,VC_TORRES_M,VC_PROAÑO_M,VC_LARREA_M,VC_GUTIERREZ_F,VC_DAMERVAL_F,VC_VITERI_F,VC_ROSERO_F,VC_ROLDOS_F,VC_SAGNAY_F,VC_VILLACIS_F,VC_MACAS_F,VC_TORRES_F,VC_PROAÑO_F,VC_LARREA_F,ELECTORES_M,ELECTORAS_F,VOTOS VALIDOS,VOTOS_INVALIDOS
0,2006,2,401,5,TULCAN,CARCHI,0.0,0.0,147.0,176.0,10056.0,10378.0,10166.0,10861.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28887.0,29423.0,41461.0,323.0
1,2006,2,405,10,MONTUFAR,CARCHI,0.0,0.0,73.0,138.0,2857.0,5318.0,2677.0,5722.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11161.0,11774.0,16574.0,211.0
2,2006,2,DE,11,ALEMANIA,EUROPA ASIA Y OCEANIA,0.0,0.0,1.0,5.0,26.0,47.0,42.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,343.0,185.0,6.0
3,2006,2,403,15,ESPEJO,CARCHI,0.0,0.0,44.0,50.0,1512.0,2532.0,1455.0,2697.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5424.0,5741.0,8196.0,94.0
4,2006,2,404,20,MIRA,CARCHI,0.0,0.0,70.0,63.0,1158.0,2178.0,1059.0,2154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4855.0,4797.0,6549.0,133.0
5,2006,2,AR,21,ARGENTINA,AMERICA LATINA EL CARIBE Y AFRICA,0.0,0.0,0.0,0.0,34.0,78.0,42.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.0,152.0,211.0,0.0
6,2006,2,402,25,BOLIVAR,CARCHI,0.0,0.0,40.0,108.0,1718.0,2229.0,1553.0,2103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5523.0,5288.0,7603.0,148.0
7,2006,2,1001,30,IBARRA,IMBABURA,0.0,0.0,309.0,350.0,13873.0,26276.0,13974.0,29720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56466.0,61267.0,83843.0,659.0
8,2006,2,AU,31,AUSTRALIA,EUROPA ASIA Y OCEANIA,0.0,0.0,0.0,0.0,8.0,14.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,42.0,40.0,0.0
9,2006,2,1004,35,OTAVALO,IMBABURA,0.0,0.0,279.0,484.0,6500.0,14334.0,6480.0,16725.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33084.0,36639.0,44039.0,763.0
