,AÑO,VUELTA,PARROQUIA_CODIGO,VOTOS_NULOS_M,VOTOS_NULOS_F,VOTOS_BLANCOS_M,VOTOS_BLANCOS_F,VC_GUTIERREZ_M,VC_DAMERVAL_M,VC_VITERI_M,VC_NOBOA_M,VC_ROSERO_M,VC_ROLDOS_M,VC_SAGNAY_M,VC_VILLACIS_M,VC_MACAS_M,VC_TORRES_M,VC_PROAÑO_M,VC_CORREA_M,VC_LARREA_M,VC_GUTIERREZ_F,VC_DAMERVAL_F,VC_VITERI_F,VC_NOBOA_F,VC_ROSERO_F,VC_ROLDOS_F,VC_SAGNAY_F,VC_VILLACIS_F,VC_MACAS_F,VC_TORRES_F,VC_PROAÑO_F,VC_CORREA_F,VC_LARREA_F,ELECTORES_M,ELECTORAS_F,VOTOS VALIDOS,VOTOS_INVALIDOS,PARROQUIA_NOMBRE,CANTON_NOMBRE,PROVINCIA_NOMBRE
0,2006,1,5,0.0,0.0,36.0,7.0,57.0,0.0,21.0,18.0,6.0,27.0,0.0,10.0,23.0,1.0,10.0,56.0,3.0,39.0,0.0,36.0,15.0,8.0,27.0,1.0,3.0,16.0,1.0,0.0,48.0,1.0,476.0,463.0,427.0,43.0,ABANIN,ZARUMA,EL ORO
1,2006,1,10,0.0,0.0,517.0,376.0,412.0,6.0,270.0,1298.0,81.0,95.0,9.0,28.0,18.0,13.0,29.0,651.0,16.0,554.0,8.0,355.0,1314.0,76.0,119.0,8.0,19.0,15.0,11.0,19.0,418.0,7.0,5578.0,5099.0,5849.0,893.0,ABDON CALDERON,PORTOVIEJO,MANABI
2,2006,1,15,0.0,0.0,42.0,34.0,54.0,1.0,32.0,123.0,3.0,83.0,1.0,20.0,10.0,0.0,2.0,125.0,1.0,49.0,1.0,63.0,105.0,4.0,89.0,1.0,33.0,7.0,1.0,0.0,116.0,2.0,1035.0,855.0,926.0,76.0,ABDON CALDERON / LA UNION,SANTA ISABEL,AZUAY
3,2006,1,20,0.0,0.0,216.0,434.0,415.0,4.0,26.0,76.0,20.0,84.0,32.0,25.0,315.0,6.0,10.0,147.0,19.0,345.0,20.0,69.0,93.0,22.0,40.0,25.0,33.0,252.0,16.0,26.0,58.0,20.0,3214.0,3208.0,2198.0,650.0,ACHUPALLAS,ALAUSI,CHIMBORAZO
4,2006,1,25,0.0,0.0,51.0,63.0,823.0,0.0,31.0,8.0,1.0,11.0,1.0,2.0,18.0,1.0,2.0,29.0,3.0,683.0,2.0,29.0,11.0,1.0,9.0,4.0,0.0,10.0,0.0,1.0,22.0,1.0,1449.0,1331.0,1703.0,114.0,AHUANO,TENA,NAPO
5,2006,1,30,0.0,0.0,126.0,144.0,286.0,9.0,115.0,656.0,21.0,651.0,16.0,54.0,85.0,9.0,51.0,900.0,31.0,464.0,8.0,194.0,546.0,31.0,765.0,12.0,54.0,104.0,7.0,54.0,781.0,29.0,4108.0,4431.0,5933.0,270.0,ALANGASI,QUITO,PICHINCHA
6,2006,1,35,0.0,0.0,63.0,186.0,432.0,5.0,61.0,220.0,15.0,172.0,4.0,42.0,105.0,4.0,10.0,331.0,8.0,524.0,5.0,79.0,173.0,35.0,125.0,4.0,61.0,96.0,5.0,19.0,291.0,2.0,2232.0,2582.0,2828.0,249.0,ALAQUEZ,LATACUNGA,COTOPAXI
7,2006,1,40,0.0,0.0,14.0,14.0,97.0,0.0,3.0,26.0,0.0,5.0,0.0,2.0,12.0,3.0,3.0,18.0,1.0,99.0,1.0,8.0,15.0,1.0,5.0,1.0,2.0,7.0,1.0,2.0,8.0,0.0,266.0,268.0,320.0,28.0,SANTA FE DE GALAN,GUANO,CHIMBORAZO
8,2006,1,45,0.0,0.0,16.0,10.0,56.0,1.0,5.0,56.0,0.0,42.0,0.0,4.0,9.0,2.0,1.0,25.0,1.0,84.0,1.0,7.0,55.0,0.0,43.0,0.0,5.0,6.0,0.0,0.0,28.0,0.0,299.0,337.0,431.0,26.0,SAN JOSE DE CHAZO,GUANO,CHIMBORAZO
9,2006,1,50,0.0,0.0,253.0,132.0,175.0,2.0,92.0,640.0,50.0,33.0,8.0,18.0,27.0,7.0,9.0,164.0,2.0,236.0,1.0,155.0,651.0,24.0,40.0,4.0,19.0,7.0,0.0,10.0,134.0,5.0,3176.0,2740.0,2513.0,385.0,ALHAJUELA /BAJO GRANDE,PORTOVIEJO,MANABI
10,2006,1,55,0.0,0.0,60.0,82.0,314.0,2.0,64.0,367.0,18.0,316.0,6.0,28.0,50.0,5.0,19.0,520.0,5.0,432.0,1.0,94.0,327.0,8.0,404.0,5.0,41.0,69.0,6.0,29.0,395.0,4.0,2515.0,2703.0,3529.0,142.0,ALOAG,MEJIA,PICHINCHA
11,2006,1,60,0.0,0.0,34.0,33.0,108.0,1.0,39.0,195.0,9.0,198.0,4.0,13.0,27.0,2.0,10.0,303.0,12.0,152.0,2.0,103.0,172.0,4.0,220.0,3.0,16.0,26.0,6.0,13.0,239.0,7.0,1346.0,1482.0,1884.0,67.0,ALOASI,MEJIA,PICHINCHA
12,2006,1,65,0.0,0.0,1.0,4.0,33.0,0.0,1.0,8.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,17.0,0.0,51.0,0.0,3.0,7.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,10.0,2.0,103.0,108.0,141.0,5.0,ALSHI /9 DE OCTUBRE,MORONA,MORONA SANTIAGO
13,2006,1,70,0.0,0.0,55.0,23.0,17.0,0.0,6.0,40.0,22.0,7.0,1.0,20.0,4.0,2.0,1.0,9.0,1.0,14.0,4.0,9.0,22.0,17.0,6.0,2.0,21.0,3.0,1.0,4.0,12.0,0.0,318.0,272.0,245.0,78.0,ALTO TAMBO/GUADAL,SAN LORENZO,ESMERALDAS
14,2006,1,75,0.0,0.0,110.0,84.0,477.0,5.0,44.0,223.0,9.0,88.0,7.0,18.0,25.0,3.0,10.0,178.0,6.0,464.0,0.0,57.0,166.0,9.0,88.0,2.0,15.0,11.0,0.0,12.0,114.0,3.0,1966.0,1751.0,2034.0,194.0,ALLURIQUIN,STO. DGO. DE LOS CLDS,PICHINCHA
15,2006,1,80,0.0,0.0,160.0,264.0,695.0,21.0,196.0,976.0,63.0,1018.0,28.0,152.0,235.0,25.0,132.0,1577.0,25.0,909.0,10.0,305.0,784.0,46.0,1179.0,18.0,155.0,283.0,37.0,113.0,1424.0,32.0,7190.0,7767.0,10438.0,424.0,AMAGUANA,QUITO,PICHINCHA
16,2006,1,85,0.0,0.0,15.0,13.0,92.0,0.0,9.0,29.0,0.0,9.0,0.0,1.0,1.0,0.0,1.0,26.0,1.0,93.0,0.0,4.0,22.0,0.0,19.0,0.0,0.0,4.0,3.0,0.0,21.0,0.0,371.0,344.0,335.0,28.0,AMALUZA,SEVILLA DE ORO,AZUAY
17,2006,1,90,0.0,0.0,3.0,6.0,8.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,7.0,0.0,0.0,2.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,74.0,59.0,45.0,9.0,AMAZONAS,GUALAQUIZA,MORONA SANTIAGO
18,2006,1,95,0.0,0.0,59.0,58.0,360.0,2.0,28.0,193.0,8.0,57.0,6.0,5.0,93.0,2.0,3.0,226.0,2.0,410.0,5.0,38.0,150.0,11.0,56.0,1.0,10.0,77.0,2.0,2.0,154.0,2.0,1461.0,1558.0,1903.0,117.0,AMBATILLO,AMBATO,TUNGURAHUA
