,AÑO,VUELTA,CANTON_CODIGO,VOTOS_NULOS_M,VOTOS_NULOS_F,VOTOS_BLANCOS_M,VOTOS_BLANCOS_F,VC_NOBOA_M,VC_CORREA_M,VC_NOBOA_F,VC_CORREA_F,ELECTORES_M,ELECTORAS_F,VOTOS VALIDOS,VOTOS_INVALIDOS,CANTON_NOMBRE,PROVINCIA_NOMBRE
0,2006,2,5,0.0,0.0,147.0,176.0,10056.0,10378.0,10166.0,10861.0,28887.0,29423.0,41461.0,323.0,TULCAN,CARCHI
1,2006,2,10,0.0,0.0,73.0,138.0,2857.0,5318.0,2677.0,5722.0,11161.0,11774.0,16574.0,211.0,MONTUFAR,CARCHI
2,2006,2,11,0.0,0.0,1.0,5.0,26.0,47.0,42.0,70.0,184.0,343.0,185.0,6.0,ALEMANIA,VOTO EXTERIOR
3,2006,2,15,0.0,0.0,44.0,50.0,1512.0,2532.0,1455.0,2697.0,5424.0,5741.0,8196.0,94.0,ESPEJO,CARCHI
4,2006,2,20,0.0,0.0,70.0,63.0,1158.0,2178.0,1059.0,2154.0,4855.0,4797.0,6549.0,133.0,MIRA,CARCHI
5,2006,2,21,0.0,0.0,0.0,0.0,34.0,78.0,42.0,57.0,177.0,152.0,211.0,0.0,ARGENTINA,VOTO EXTERIOR
6,2006,2,25,0.0,0.0,40.0,108.0,1718.0,2229.0,1553.0,2103.0,5523.0,5288.0,7603.0,148.0,BOLIVAR,CARCHI
7,2006,2,30,0.0,0.0,309.0,350.0,13873.0,26276.0,13974.0,29720.0,56466.0,61267.0,83843.0,659.0,IBARRA,IMBABURA
8,2006,2,31,0.0,0.0,0.0,0.0,8.0,14.0,4.0,14.0,51.0,42.0,40.0,0.0,AUSTRALIA,VOTO EXTERIOR
9,2006,2,35,0.0,0.0,279.0,484.0,6500.0,14334.0,6480.0,16725.0,33084.0,36639.0,44039.0,763.0,OTAVALO,IMBABURA
10,2006,2,40,0.0,0.0,179.0,247.0,2860.0,6059.0,2435.0,6152.0,14039.0,13591.0,17506.0,426.0,COTACACHI,IMBABURA
11,2006,2,41,0.0,0.0,1.0,1.0,3.0,22.0,6.0,25.0,35.0,43.0,56.0,2.0,AUSTRIA,VOTO EXTERIOR
12,2006,2,45,0.0,0.0,73.0,95.0,3100.0,6229.0,3043.0,7200.0,12907.0,14176.0,19572.0,168.0,ANTONIO ANTE,IMBABURA
13,2006,2,50,0.0,0.0,63.0,63.0,1554.0,2589.0,1446.0,2369.0,6024.0,5823.0,7958.0,126.0,PIMAMPIRO,IMBABURA
14,2006,2,51,0.0,0.0,1.0,0.0,14.0,28.0,27.0,49.0,84.0,147.0,118.0,1.0,BELGICA,VOTO EXTERIOR
15,2006,2,55,0.0,0.0,62.0,98.0,1575.0,2455.0,1353.0,2485.0,5876.0,5814.0,7868.0,160.0,URCUQUI,IMBABURA
16,2006,2,60,0.0,0.0,2275.0,2283.0,131058.0,333993.0,121487.0,380984.0,658649.0,712964.0,967522.0,4558.0,QUITO,PICHINCHA
17,2006,2,61,0.0,0.0,0.0,0.0,4.0,5.0,14.0,2.0,12.0,25.0,25.0,0.0,BOLIVIA,VOTO EXTERIOR
18,2006,2,65,0.0,0.0,193.0,368.0,5424.0,11165.0,5068.0,12034.0,22153.0,23629.0,33691.0,561.0,CAYAMBE,PICHINCHA
19,2006,2,70,0.0,0.0,109.0,133.0,4757.0,10674.0,4316.0,11985.0,20579.0,22020.0,31732.0,242.0,MEJIA,PICHINCHA
20,2006,2,71,0.0,0.0,0.0,0.0,4.0,4.0,8.0,3.0,16.0,16.0,19.0,0.0,BRASIL,VOTO EXTERIOR
21,2006,2,75,0.0,0.0,67.0,112.0,1782.0,3656.0,1580.0,4225.0,7475.0,8003.0,11243.0,179.0,PEDRO MONCAYO,PICHINCHA
22,2006,2,80,0.0,0.0,86.0,81.0,6016.0,12964.0,5221.0,14547.0,24924.0,26432.0,38748.0,167.0,RUMINAHUI,PICHINCHA
23,2006,2,81,0.0,0.0,2.0,0.0,103.0,159.0,109.0,156.0,459.0,496.0,527.0,2.0,CANADA,VOTO EXTERIOR
24,2006,2,85,0.0,0.0,777.0,825.0,32318.0,44698.0,29414.0,45372.0,113832.0,109544.0,151802.0,1602.0,STO. DGO. DE LOS CLDS,PICHINCHA
